seed,return,steps,x_progress,final_x,reached_goal,alive,death_cause,terminated,truncated
42,8.31600000000001,44,97.56000000000006,147.56000000000006,False,False,pit,True,False
43,9.101999999999999,45,105.51999999999998,155.51999999999998,False,False,pit,True,False
44,7.634999999999998,43,90.64999999999998,140.64999999999998,False,False,pit,True,False
45,6.549000000000004,57,81.19000000000003,131.19000000000003,False,False,pit,True,False
46,8.032999999999992,80,98.3299999999999,148.3299999999999,False,False,pit,True,False
47,9.187000000000008,47,106.57000000000005,156.57000000000005,False,False,pit,True,False
48,9.554000000000006,64,111.94000000000003,161.94000000000003,False,False,pit,True,False
49,5.587,46,70.46999999999997,120.46999999999997,False,False,pit,True,False
50,9.937999999999995,45,113.87999999999997,163.87999999999997,False,False,pit,True,False
51,6.185999999999999,43,76.16,126.16,False,False,pit,True,False
52,10.17999999999999,52,116.99999999999991,166.99999999999991,False,False,pit,True,False
53,7.3160000000000025,45,87.66,137.66,False,False,pit,True,False
54,7.382999999999999,80,91.82999999999998,141.82999999999998,False,False,pit,True,False
55,8.721000000000004,45,101.71000000000001,151.71,False,False,pit,True,False
56,7.120000000000003,60,87.20000000000002,137.20000000000002,False,False,pit,True,False
57,6.818999999999997,44,82.58999999999997,132.58999999999997,False,False,pit,True,False
58,6.683000000000004,44,81.23000000000002,131.23000000000002,False,False,pit,True,False
59,9.584999999999992,62,112.04999999999993,162.04999999999993,False,False,pit,True,False
60,7.860000000000006,44,93.00000000000006,143.00000000000006,False,False,pit,True,False
61,7.657000000000002,41,90.67000000000002,140.67000000000002,False,False,pit,True,False
62,4.836000000000002,48,63.160000000000025,113.16000000000003,False,False,pit,True,False
63,9.781999999999998,43,112.11999999999998,162.11999999999998,False,False,pit,True,False
64,6.941000000000007,46,84.01000000000005,134.01000000000005,False,False,pit,True,False
65,10.047000000000002,68,117.27000000000001,167.27,False,False,pit,True,False
66,8.911000000000001,49,104.01000000000002,154.01000000000002,False,False,pit,True,False
67,6.502000000000004,44,79.42000000000004,129.42000000000004,False,False,pit,True,False
68,7.576000000000007,45,90.26000000000005,140.26000000000005,False,False,pit,True,False
69,6.471999999999997,44,79.11999999999998,129.11999999999998,False,False,pit,True,False
70,7.898000000000005,35,92.48000000000005,142.48000000000005,False,False,pit,True,False
71,6.865000000000004,70,85.65,135.65,False,False,pit,True,False
