seed,return,steps,x_progress,final_x,reached_goal,alive,death_cause,terminated,truncated
42,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
43,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
44,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
45,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
46,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
47,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
48,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
49,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
50,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
51,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
52,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
53,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
54,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
55,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
56,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
57,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
58,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
59,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
60,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
61,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
62,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
63,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
64,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
65,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
66,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
67,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
68,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
69,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
70,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
71,52.768799999999814,133,367.4899999999992,417.4899999999992,True,True,,True,False
